Disease,Precaution
Drug Reaction,"stop irritation,consult nearest hospital,stop taking drug"
Malaria,"Consult nearest hospital,avoid oily food,avoid non veg food"
Allergy,"apply calamine,cover area with bandage"
Hypothyroidism,"reduce stress,exercise,eat healthy"
Psoriasis,"wash hands with warm soapy water,stop bleeding using pressure,consult doctor"
GERD,"avoid fatty spicy food,avoid lying down after eating,maintain healthy weight"
Chronic cholestasis,"cold baths,anti itch medicine,consult doctor"
hepatitis A,"Consult nearest hospital,wash hands through,avoid fatty spicy food"
Osteoarthristis,"acetaminophen,consult nearest hospital,follow up"
(vertigo) Paroymsal  Positional Vertigo,"lie down,avoid sudden change in body,avoid abrupt head movment"
Hypoglycemia,"lie down on side,check in pulse,drink sugary drinks"
Acne,"bath twice,avoid fatty spicy food,drink plenty of water"
Diabetes ,"have balanced diet,exercise,consult doctor"
Impetigo,"soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth"
Hypertension ,"meditation,salt baths,reduce stress"
Peptic ulcer diseae,"avoid fatty spicy food,consume probiotic food,eliminate milk"
Dimorphic hemmorhoids(piles),"avoid fatty spicy food,consume witch hazel,warm bath with epsom salt"
Common Cold,"drink vitamin c rich drinks,take vapour,avoid cold food"
Chicken pox,"use neem in bathing ,consume neem leaves,take vaccine"
Cervical spondylosis,"use heating pad or cold pack,exercise,take otc pain reliver"
Hyperthyroidism,"eat healthy,massage,use lemon balm"
Urinary tract infection,"drink plenty of water,increase vitamin c intake,drink cranberry juice"
Varicose veins,"lie down flat and raise the leg high,use oinments,use vein compression"
AIDS,"avoid open cuts,wear ppe if possible,consult doctor"
Paralysis (brain hemorrhage),"massage,eat healthy,exercise"
Typhoid,"eat high calorie vegitables,antiboitic therapy,consult doctor"
Hepatitis B,"consult nearest hospital,vaccination,eat healthy"
Fungal infection,"bath twice,use detol or neem in bathing water,keep infected area dry"
Hepatitis C,"Consult nearest hospital,vaccination,eat healthy"
Migraine,"meditation,reduce stress,use poloroid glasses in sun"
Bronchial Asthma,"switch to loose cloothing,take deep breaths,get away from trigger"
Alcoholic hepatitis,"stop alcohol consumption,consult doctor,medication"
Jaundice,"drink plenty of water,consume milk thistle,eat fruits and high fiberous food"
Hepatitis E,"stop alcohol consumption,rest,consult doctor"
Dengue,"drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away"
Hepatitis D,"consult doctor,medication,eat healthy"
Heart attack,"call ambulance,chew or swallow asprin,keep calm"
Pneumonia,"consult doctor,medication,rest"
Arthritis,"exercise,use hot and cold therapy,try acupuncture"
Gastroenteritis,"stop eating solid food for while,try taking small sips of water,rest"
Tuberculosis,"cover mouth,consult doctor,medication"
